,TSM_Ret,SOX_Ret,TSM_Ret_lag2,SOX_Ret_lag2,TSM_SOX_Spread,NetOI_Diff_lag1,NetOI_Diff_lag2,Open_Gap,Gap_Direction,Intraday_Ret,Intraday_Point,Intra_Ret_lag1,TX_Ret,TX_Ret_lag1,TX_Vol5,TX_Mom5,MA5,MA20,RSI
2024-03-12,-0.05151983096370292,-0.01372477417741121,-0.019150176337989315,-0.041107785220779604,-0.037795056786291706,-4991.0,-4621.0,-1.0,0,0.01215069525744995,241,0.0012180887665573326,0.01209997117110665,-0.0038475215792529898,0.005116255297146996,0.020549545784864443,19735.8,19026.4,85.81644815256257
2024-03-13,0.037969534894736444,0.020705499979528707,-0.05151983096370292,-0.01372477417741121,0.017264034915207737,-1552.0,-4991.0,39.0,1,-0.0033566324945418706,-67,0.01215069525744995,-0.0014041424502500845,0.01209997117110665,0.006224200408731177,0.028773843551829204,19819.4,19118.55,87.53799392097264
2024-03-14,-0.015774811854686856,-0.025060394152373943,0.037969534894736444,0.020705499979528707,0.009285582297687087,-1023.0,-1552.0,-30.0,0,0.002108646227651377,42,-0.0033566324945418706,0.0006020167743150585,-0.0014041424502500845,0.0069743590756085275,0.021199698495322772,19865.4,19211.2,85.95890410958904
2024-03-15,-0.01788805402773827,-0.01767451519037331,-0.015774811854686856,-0.025060394152373943,-0.00021353883736496132,534.0,-1023.0,-111.0,0,-0.004954760123803534,-98,0.002108646227651377,-0.010537292790238316,0.0006020167743150585,0.006202070938862073,0.011602228614404941,19853.2,19264.35,74.83282674772036
2024-03-18,-0.01908953655815763,-0.005437381188361369,-0.01788805402773827,-0.01767451519037331,-0.013652155369796259,-3100.0,534.0,48.0,1,0.00710384124533784,141,-0.004954760123803534,0.009533730058612954,-0.010537292790238316,0.008256443375367286,-0.00308696887431968,19894.0,19328.6,76.79372197309416
2024-03-19,0.0015675024667618342,-2.309189728518858e-05,-0.01908953655815763,-0.005437381188361369,0.0015905943640470229,1294.0,-3100.0,-103.0,0,0.002570371598868067,51,0.00710384124533784,-0.0026139863072104047,0.009533730058612954,0.009075729160972448,0.010294282763546263,19876.4,19388.4,78.73563218390805
2024-03-20,-0.01303829311444584,-0.009459014399821448,0.0015675024667618342,-2.309189728518858e-05,-0.003579278714624391,-572.0,1294.0,-7.0,0,-0.0057060775418539995,-113,0.002570371598868067,-0.006058482710753921,-0.0026139863072104047,0.0071969925644720925,-0.004419674714770791,19840.4,19438.1,72.17490062464509
2024-03-21,0.013842944782210044,0.015866072148754608,-0.01303829311444584,-0.009459014399821448,-0.0020231273665445634,6188.0,-572.0,301.0,1,0.010716514545661705,216,-0.0057060775418539995,0.025844331624201588,-0.006058482710753921,0.007572310743603161,-0.009074014975274627,19905.4,19516.7,78.66256049274087
2024-03-22,0.01955179162774965,0.022652016822299503,0.013842944782210044,0.015866072148754608,-0.0031002251945498535,8920.0,6188.0,-38.0,0,0.0007907482867306839,16,0.010716514545661705,-0.0010862589326646988,0.025844331624201588,0.014672349660868292,0.0161682998746119,20007.8,19584.35,73.8928939237899
2024-03-25,0.007785831527034211,0.0021170179216929656,0.01955179162774965,0.022652016822299503,0.005668813605341246,-9574.0,8920.0,14.0,1,-0.0012349644664889409,-25,0.0007907482867306839,-0.0005435722714327001,-0.0010862589326646988,0.012964080466770176,0.02561933373218552,20070.2,19650.25,72.41746538871139
